Model,Type,SKU,Name
UCXG,uap,UAP-XG,Access Point XG
UDC48X6,usw,USW-Leaf,Switch Leaf
UDM,udm,UDM,Dream Machine
UDMB,uap,UAP-BeaconHD,Access Point BeaconHD
UDMPRO,udm,UDM-Pro,Dream Machine Pro
UDMPROSE,udm,UDM-SE,Dream Machine Special Edition
UDR,udm,UDR,Dream Router
UDW,udm,UDW,Dream Wall
UDWPRO,udm,UDWPRO,Dream Wall Pro
UFLHD,uap,UAP-FlexHD,Access Point FlexHD
UGW3,ugw,USG-3P,Security Gateway
UGW4,ugw,USG-Pro-4,Security Gateway Pro
UGWHD4,ugw,USG,Security Gateway
UGWXG,ugw,USG-XG-8,Security Gateway XG
UHDIW,uap,UAP-IW-HD,Access Point In-Wall HD
ULTE,uap,U-LTE,UniFi LTE
ULTEPEU,uap,U-LTE-Pro,UniFi LTE Pro
ULTEPUS,uap,U-LTE-Pro,UniFi LTE Pro
UP1,uap,USP-Plug,SmartPower Plug
UP4,uph,UVP-X,Phone
UP5,uph,UVP,Phone
UP5c,uph,UVP,Phone
UP5t,uph,UVP-Pro,Phone Professional
UP5tc,uph,UVP-Pro,Phone Professional
UP6,uap,USP-Strip,SmartPower Strip (6 ports)
UP7,uph,UVP-Executive,Phone Executive
UP7c,uph,UVP-Executive,Phone Executive
US16P150,usw,US-16-150W,Switch 16 PoE (150 W)
US24,usw,USW-24-G1,Switch 24
US24P250,usw,US-24-250W,Switch 24 PoE (250 W)
US24P500,usw,US-24-500W,Switch 24 PoE (500 W)
US24PL2,usw,US-L2-24-PoE,Switch 24 PoE
US24PRO,usw,USW-Pro-24-PoE,Switch Pro 24 PoE
US24PRO2,usw,USW-Pro-24,Switch Pro 24
US48,usw,US-48-G1,Switch 48
US48P500,usw,US-48-500W,Switch 48 PoE (500 W)
US48P750,usw,US-48-750W,Switch 48 PoE (750 W)
US48PL2,usw,US-L2-48-PoE,Switch 48 PoE
US48PRO,usw,USW-Pro-48-PoE,Switch Pro 48 PoE
US48PRO2,usw,USW-Pro-48,Switch Pro 48
US624P,usw,USW-Enterprise-24-PoE,Switch Enterprise 24 PoE
US648P,usw,USW-Enterprise-48-PoE,Switch Enterprise 48 PoE
US68P,usw,USW-Enterprise-8-PoE,Switch Enterprise 8 PoE
US6XG150,usw,US-XG-6PoE,Switch 6 XG PoE
US8,usw,US-8,Switch 8
US8P150,usw,US-8-150W,Switch 8 PoE (150 W)
US8P60,usw,US-8-60W,Switch 8 (60 W)
USAGGPRO,usw,USW-Pro-Aggregation,Switch Aggregation Pro
USC8,usw,US-8,Switch 8
USC8P150,usw,US-8-150W,Switch 8 PoE (150 W)
USC8P450,usw,USW-Industrial,Switch Industrial
USC8P60,usw,US-8-60W,Switch 8 (60 W)
USF5P,usw,USW-Flex,Switch Flex
USFXG,usw,USW-Flex-XG,Switch Flex XG
USL16LP,usw,USW-Lite-16-PoE,Switch Lite 16 PoE
USL16P,usw,USW-16-PoE,Switch 16 PoE
USL24,usw,USW-24-G2,Switch 24
USL24P,usw,USW-24-PoE,Switch 24 PoE
USL48,usw,USW-48-G2,Switch 48
USL48P,usw,USW-48-PoE,Switch 48 PoE
USL8A,usw,USW-Aggregation,Switch Aggregation
USL8LP,usw,USW-Lite-8-PoE,Switch Lite 8 PoE
USL8MP,usw,USW-Mission-Critical,Switch Mission Critical
USMINI,usw,USW-Flex-Mini,Switch Flex Mini
USPPDUP,usw,USP-PDU-Pro,SmartPower PDU Pro
USPRPS,usw,USP-RPS,SmartPower Redundant Power System
USXG,usw,US-16-XG,Switch XG 16
USXG24,usw,USW-EnterpriseXG-24,Switch Enterprise XG 24
UXBSDM,uap,UWB-XG-BK,WiFi BaseStation XG
UXGPRO,uxg,UXG-Pro,Next-Generation Gateway Pro
UXSDM,uap,UWB-XG,WiFi BaseStation XG
p2N,uap,PICOM2HP,PicoStation M2 HP
